timestamp,cpu_percent,memory_percent,pod_count
2026-05-10 13:19:40,,41.84,
2026-05-10 13:20:10,79.08,44.23,7.0
2026-05-10 13:20:40,76.45,46.26,7.0
2026-05-10 13:21:10,66.66,46.88,7.0
2026-05-10 13:21:40,56.82,47.28,7.0
2026-05-10 13:22:10,46.99,47.61,7.0
2026-05-10 13:22:40,37.18,48.12,7.0
2026-05-10 13:23:10,27.35,48.31,7.0
2026-05-10 13:23:40,17.52,48.42,7.0
2026-05-10 13:24:10,8.27,48.55,7.0
2026-05-10 13:24:40,1.9,48.77,7.0
2026-05-10 13:25:10,1.84,48.88,7.0
2026-05-10 13:25:40,1.78,49.03,7.0
2026-05-10 13:26:10,1.77,49.05,7.33
2026-05-10 13:26:40,2.8,50.98,7.33
2026-05-10 13:27:10,2.83,51.34,7.33
2026-05-10 13:27:40,2.85,51.29,7.33
2026-05-10 13:28:10,2.87,51.39,7.33
2026-05-10 13:28:40,2.88,51.16,7.33
2026-05-10 13:29:10,2.88,50.85,7.33
2026-05-10 13:29:40,2.92,51.38,7.33
2026-05-10 13:30:10,2.93,51.32,7.33
2026-05-10 13:30:40,2.97,51.15,7.33
2026-05-10 13:31:10,1.94,51.39,7.33
2026-05-10 13:31:40,1.91,51.24,7.33
2026-05-10 13:32:10,1.89,51.11,7.33
2026-05-10 13:32:40,1.91,51.39,7.33
2026-05-10 13:33:10,1.89,51.31,7.33
2026-05-10 13:33:40,1.89,51.27,7.33
2026-05-10 13:34:10,1.9,51.43,7.33
2026-05-10 13:34:40,1.96,51.3,7.33
2026-05-10 13:35:10,1.95,51.76,7.33
2026-05-10 13:35:40,1.95,51.88,7.33
2026-05-10 13:36:10,1.95,51.96,7.33
2026-05-10 13:36:40,1.98,51.51,7.33
